depth,tem,sal,lon,lat,Psenopsis anomala,Trichiurus lepturus,Atrobucca nibe,Decapterus maruadsi,Pampus echinogaster,Harpadon nehereus,Larimichthys polyactis,Pennahia argentata
27,29.9,32.3,122,27.75,187,144,1919,0,58,43,459,86
27.5,33.6,33.2,121.5,27.75,99,2581,2246,60,1300,375,60,257
28,28.3,29.8,122.3,28.75,13,13,90,0,0,78,232,129
28.5,30.3,33.9,121.25,27.5,60,296,50,0,74,55,8,8
29.9,28.6,33.8,121.25,27.5,44,1256,0,65,962,0,15,44
30,29.7,32.1,121.18,27,107,16,1700,0,0,46,76,577
31.125,29.5,33.3,121.5,27.75,0,52,17,0,587,57,9,7
31.2,29,33.7,121.5,27.75,127,543,514,0,97,36,20,670
32,28.2,30.2,122.25,29,159,1079,24,0,24,349,445,8
32,29.5,30.1,122.55,28.75,454,45,67,0,0,23,67,12
33,30,31.4,122.25,29,14,40,27,3,0,24,302,0
33,30.7,33.8,121.9,28,9,86,254,5,9,17,27,531
34,28.9,33.9,121.1,27.25,6,307,12,3,21,56,0,3
34,29,32.2,120.93,27,0,19,432,0,0,102,92,736
34,29.9,31.3,122.5,29,14,69,17,0,3,42,437,0
34.9,28.9,31.9,122.3,28.75,13,250,73,177,2,7,128,19
35.325,28.7,33.9,121.9,28,0,5,38,0,0,17,5,8
35.475,27.4,33,122.25,29,0,145,313,0,0,481,1515,49
35.5,30.1,31.8,122,28.25,44,117,66,0,1468,2,0,0
36.1,29.3,32.3,122.25,28.5,8,63,3,45,20,2,2,2
36.2,28,33.6,121.1,27.25,45,610,78,300,45,26,56,56
37,31.2,34,122,28.25,19,27,11,0,3,19,32,11
37.3,28,33.9,122.25,29,23,42,49,239,89,7,0,506
38,30,33.9,121.5,27.5,35,100,337,11,72,27,5,41
38.4,29.6,33.5,121.1,27.25,103,52,512,0,0,86,427,1177
38.4,30.2,32.3,121.5,27.5,26,270,47,17,31,10,21,230
38.7,28.8,33.6,121.5,27.5,34,253,74,40,1063,7,0,93
40,29.1,32.4,121.43,27,43,22,2442,22,0,106,85,590
40,29.1,32.5,121.5,27.75,0,2,170,0,0,300,191,75
40,29.6,30.8,122.8,28.75,48,119,297,0,0,8,28,4
40.325,29.4,33.7,120.93,27,23,0,432,0,3,5,83,288
40.46666667,28.6,33.2,121.25,27.5,0,0,480,0,33,55,2619,797
40.6,28.6,34,121.1,27.25,11,240,181,11,49,20,9,0
41,28.3,33.8,120.93,27,0,204,7,42,4,0,11,11
41.275,30,33.5,121.5,27.5,16,4,333,4,0,99,133,466
41.35,28.7,33.4,122.3,28.75,47,381,167,0,7,141,154,67
41.725,29.1,33.6,122,28.25,15,156,1644,0,0,128,822,1828
42,27,31.5,122.25,29,21,2679,141,41,363,41,262,0
42,30.2,31.7,122.15,28,713,83,338,0,10,10,37,0
43,29,33.8,121.35,27.25,44,19,388,77,42,24,7,106
43.1,28.4,33.8,121.75,27.75,47,317,1376,261,66,38,19,93
43.4,28.1,31.7,121.75,27.5,4,51,637,18,215,12,523,235
45,28.1,33.9,121.35,27.25,51,19,51,289,1130,0,13,95
45,28.3,32.6,121.1,27.25,0,11,704,0,0,1536,206,769
45.6,30.4,33,122.3,28.75,6,120,256,8,0,22,312,34
45.7,29.3,32.5,121.35,27.25,37,440,499,7,0,0,114,46
45.85,29.5,33.8,121.18,27,13,73,350,3,0,5,147,25
45.9,29.2,33.6,121.35,27.25,0,0,234,0,0,7,104,303
46,29.2,32.6,121.75,27.75,100,267,3278,0,184,217,483,500
46,29.3,32.1,122.25,28.5,239,156,1171,0,0,52,1989,156
46.3,28.2,33.1,122.25,28.5,20,470,40,7,839,20,14,0
46.5,28.8,33,122.5,29,0,20,284,0,12,111,441,8
48.05,28.9,33.9,122.25,28.5,37,205,30,8,0,59,15,74
48.3,27.1,31.7,122.5,29,652,2800,459,121,49,121,1207,0
48.4,27.8,32.3,122.3,28.75,112,981,0,21,243,11,41,0
48.7,30.8,33.2,122.25,28.5,52,205,133,3,3,21,253,54
49,28.4,33.9,122.5,29,13,63,394,217,50,3,0,101
49,29.6,33.9,120.93,27,31,143,96,8,153,22,5,10
49.6,29.3,33.3,122.25,28.25,80,1065,1167,68,46,12,23,80
50,29.4,32.5,121.5,27.5,31,61,2713,0,11,31,171,664
50.125,30.1,33.6,121.75,27.75,64,43,1123,0,0,117,11,255
50.4,28.2,33.8,121.18,27,8,166,96,138,4,3,0,8
51.5,29.9,33.9,121.75,27.75,98,36,315,50,10,24,43,141
52.15,30,33.5,122,27.75,49,33,365,0,0,0,25,0
52.2,29.2,33.7,121.9,28,5,265,5,8,255,0,0,0
